Front,Back
What is Bootstrap?,"Most popular CSS framework for responsive, mobile-first sites (v5 dropped jQuery)"
How to include Bootstrap,"CDN: <link href='https://cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/css/bootstrap.min.css'> + JS bundle"
Breakpoints,"xs (<576px), sm (≥576px), md (≥768px), lg (≥992px), xl (≥1200px), xxl (≥1400px)"
Container types,".container (responsive fixed-width), .container-fluid (full-width), .container-{breakpoint}"
Grid system,"12-column layout: .row > .col-{breakpoint}-{columns} (e.g., .col-md-6)"
Columns,"Auto-layout: .col (equal width), .col-{n} (fixed), .col-auto (content width)"
Gutters,".g-{1-5} (spacing between columns), .gx-* (horizontal), .gy-* (vertical)"
Display utilities,".d-{none/inline/block/flex/grid/etc.}, responsive: .d-{breakpoint}-{value}"
Flex utilities,".d-flex, .flex-{row/column}, .justify-content-{start/center/end/between/around}, .align-items-*"
Spacing utilities,".{m/p}{t/b/s/e/x/y}-{0-5/auto} (margin/padding top/bottom/start/end/both axes)"
Text utilities,".text-{start/center/end}, .text-{primary/secondary/etc.}, .fw-{bold/normal/etc.}, .fs-{1-6}"
Color utilities,".bg-{primary/secondary/success/danger/etc.}, .text-{color}, .link-{color}"
Borders,".border, .border-{top/end/bottom/start}, .border-{0-5}, .rounded-{top/end/etc.}"
Sizing utilities,".w-{25/50/75/100/auto}, .h-{same}, .mw-100, .mh-100"
Buttons,".btn .btn-{primary/secondary/etc.} .btn-outline-* .btn-lg/sm .btn-group"
Button features,".active, :disabled, data-bs-toggle='button' (toggle buttons)"
Cards,".card > .card-body + .card-title/text/img/header/footer, .card-group"
Navbar,".navbar > .container-fluid + .navbar-brand + .navbar-nav .nav-item .nav-link"
Navbar features,".navbar-expand-{breakpoint}, .navbar-toggler, .fixed-top/bottom"
Forms,".form-control, .form-select, .form-label, .form-check (radio/checkbox)"
Form layouts,".row .col-* + .form-group, .form-floating (labels as placeholders)"
Form validation,".is-valid/invalid, .valid-feedback/invalid-feedback"
Modal,"data-bs-toggle='modal' data-bs-target='#id', .modal .modal-dialog .modal-content"
Modal components,".modal-header/body/footer, .modal-title, .modal-fullscreen-{breakpoint}"
Dropdown,".dropdown .dropdown-toggle (data-bs-toggle='dropdown') + .dropdown-menu"
Dropdown items,".dropdown-item, .dropdown-divider, .dropdown-header"
Carousel,".carousel .carousel-inner .carousel-item (active), data-bs-ride='carousel'"
Carousel controls,".carousel-control-prev/next, .carousel-indicators, data-bs-slide/to"
Accordion,".accordion > .accordion-item > .accordion-header + .accordion-collapse"
Accordion features,".accordion-button, data-bs-parent='#parent', .accordion-flush"
List group,".list-group > .list-group-item, .list-group-flush, .list-group-horizontal"
Badges,".badge .bg-{color}, .rounded-pill, position with .position-absolute"
Alerts,".alert .alert-{color}, .alert-dismissible + .btn-close"
Progress bars,".progress > .progress-bar (style with width: 25%), .bg-*, .progress-bar-striped"
Spinners,".spinner-border .spinner-grow, .text-{color}, .spinner-border-sm"
Toasts,".toast .toast-header/body, data-bs-autohide='false', .show .hide"
Tooltips,"data-bs-toggle='tooltip' title='text' data-bs-placement='top', must initialize JS"
Popovers,"data-bs-toggle='popover' data-bs-content='content', requires JS init"
Offcanvas,".offcanvas .offcanvas-header/body, data-bs-toggle='offcanvas'"
Breadcrumb,".breadcrumb > .breadcrumb-item (active), .breadcrumb-divider"
Pagination,".pagination > .page-item .page-link, .active .disabled"
Utilities API","Sass maps to modify breakpoints, colors, spacing, etc."
Customizing Bootstrap,"Override variables in custom.scss, then recompile"
Icons,"Bootstrap Icons: <i class='bi bi-{name}'></i> (separate CSS)"
RTL support,".text-start/end instead of left/right, .float-start/end"
Helpers","Clearfix (.clearfix), Colored links (.link-*), Ratio (.ratio-16x9)"
Position utilities,".position-{static/relative/absolute/fixed/sticky}, .top-0, .start-50"
Shadow utilities,".shadow-{none/sm/lg}, .shadow-{color} with utilities API"
Vertical rule",".vr (vertical divider between columns)"
Visually hidden",".visually-hidden (hide element but keep for screen readers)"
Z-index utilities",".z-{0-3} (stacking order helpers)"
